,Unnamed: 0,projectID,projectAcronym,organisationID,vatNumber,name,shortName,SME,activityType,street,postCode,city,country,nutsCode,geolocation,organizationURL,contactForm,contentUpdateDate,rcn,order,role,ecContribution,netEcContribution,totalCost,endOfParticipation,active,diffContribution,continent
10,27,101092339,Exploit4InnoMat,999613422,SE556464687401,RISE RESEARCH INSTITUTES OF SWEDEN AB,RISE,False,REC,BRINELLGATAN 4,501 15,Boras,SE,SE232,"57.7165456,12.8923395",http://www.ri.se,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999613422/101092339,2023-01-07 18:10:58,1905804,5,participant,679106.0,679106.0,679106.0,False,,0.0,EU
11,28,101092339,Exploit4InnoMat,905205165,IE3602284DH,CROWDHELIX LIMITED,,True,PRC,TRINITY HOUSE 7 GEORGES QUAY,T12NAX0,Cork,IE,IE052,"51.895105,-8.470991",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/905205165/101092339,2023-01-07 18:10:58,1958697,24,participant,306096.88,306096.88,437281.25,False,,131184.37,EU
12,29,101092339,Exploit4InnoMat,910945140,,sintef,SINTEF,False,REC,STRINDVEGEN 4,7034,Trondheim,NO,NO060,"63.4134536,10.4089353",http://www.sintef.no,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/910945140/101092339,2023-01-07 18:10:58,1944981,2,participant,734875.0,734875.0,734875.0,False,,0.0,EU
13,30,101092339,Exploit4InnoMat,999991722,ESQ2818002D,AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS,CSIC,False,REC,CALLE SERRANO 117,28006,Madrid,ES,ES300,"40.4409945,-3.6878876",http://www.csic.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999991722/101092339,2023-01-07 18:10:58,1905575,6,participant,350000.0,350000.0,350000.0,False,,0.0,EU
14,31,101092339,Exploit4InnoMat,900885658,IE3629141FH,F6S NETWORK IRELAND LIMITED,F6S IE,True,PRC,WORK HUB 77 CAMDEN STREET,D02 XE80,LOWER DUBLIN,IE,IE,"53.3497645,-6.2602732",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/900885658/101092339,2023-01-07 18:10:58,1961469,25,participant,308437.5,308437.5,440625.0,False,,132187.5,EU
15,32,101092339,Exploit4InnoMat,999641746,ESR3168001J,UNIVERSIDAD DE NAVARRA,UNIVERSITY OF NAVARRA,False,HES,CAMPUS UNIVERSITARIO EDIFICIO CENTRAL,31080,Pamplona,ES,ES220,"42.8185502,-1.6444164",http://www.unav.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999641746/101092339,2023-01-07 18:10:58,1912206,8,participant,379375.0,379375.0,379375.0,False,,0.0,EU
16,33,101092339,Exploit4InnoMat,897213626,TR0460349274,KANSAI ALTAN BOYA SANAYI VE TICARET ANONIM SIRKETI,,False,PRC,KEMALPASA OSB MAHALLESI IZMIR ANKARA YOLU ANSIZCA KUME EVLERI 286,35730,ÃÂ°zmir,TR,TR331,"38.460568722569995,27.393726992990484",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/897213626/101092339,2023-01-07 18:10:58,1974461,9,participant,248675.0,248675.0,355250.0,False,,106575.0,AS
17,34,101092339,Exploit4InnoMat,953676744,BE0422137070,BUREAU INTERNATIONAL DU BETON MANUFACTURE,BIBM,True,OTH,RUE D ARLON 55,1040,Bruxelles / Brussel,BE,BE100,"50.8465565,4.351697",https://www.bibm.eu,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/953676744/101092339,2023-01-07 18:10:58,1917062,13,participant,278125.0,278125.0,278125.0,False,,0.0,EU
18,35,101092339,Exploit4InnoMat,893373008,IE3726417MH,INLECOM COMMERCIAL PATHWAYS COMPANYLIMITED BY GUARANTEE,,True,REC,ROOM 12 - GATEWAY BUSINESS SUITES THE REEKS GATEWAY KILLARNEY,V93 PPA0,KERRY,IE,IE053,"53.3497645,-6.2602732",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/893373008/101092339,2023-01-07 18:10:58,1970126,10,participant,402625.0,402625.0,402625.0,False,,0.0,EU
19,36,101092339,Exploit4InnoMat,999974747,DE147794196,UNIVERSITY OF STUTTGART,USTUTT,False,HES,KEPLERSTRASSE 7,70174,Stuttgart,DE,DE111,"48.7831165,9.174964",http://www.uni-stuttgart.de,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999974747/101092339,2023-01-07 18:10:58,1905614,7,participant,1052500.0,1052500.0,1052500.0,False,,0.0,EU
20,37,101092339,Exploit4InnoMat,999866689,IT00382520427,UNIVERSITA POLITECNICA DELLE MARCHE,UNIVPM,False,HES,PIAZZA ROMA 22,60121,Ancona,IT,ITI32,"43.6172271,13.5130433",http://www.univpm.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999866689/101092339,2023-01-07 18:10:58,1909750,19,participant,680000.0,680000.0,680000.0,False,,0.0,EU
21,38,101092339,Exploit4InnoMat,952832553,ESB86244530,ADVANCED MATERIAL SIMULATION SL,AMS,True,PRC,VILLAMANIN 29 4 C,28011,Madrid,ES,ES300,"40.4167047,-3.7035825",https://www.amsimulation.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952832553/101092339,2023-01-07 18:10:58,2209855,12,participant,332500.0,332500.0,475000.0,False,,142500.0,EU
22,39,101092339,Exploit4InnoMat,998686781,CHE328508904MWST,FACHHOCHSCHULE ZENTRALSCHWEIZ - HOCHSCHULE LUZERN,LUCERNE UNIVERSITY OF APPLIED SCIENCES AND ARTS,False,HES,WERFTESTRASSE 4,6002,Luzern,CH,CH061,"47.0468457,8.3149094",https://www.hslu.ch,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998686781/101092339,2023-01-07 18:10:58,1923976,26,associatedPartner,,0.0,0.0,False,,0.0,EU
23,40,101092339,Exploit4InnoMat,999977851,,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,NTNU,False,HES,HOGSKOLERINGEN 1,7491,Trondheim,NO,NO060,"63.4193061,10.401819034181624",http://www.ntnu.no,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999977851/101092339,2023-01-07 18:10:58,1907153,4,participant,974500.0,974500.0,974500.0,False,,0.0,EU
24,41,101092339,Exploit4InnoMat,888815560,EL998057596,WHITESTEPS TECHNOLOGIES ANONYMI ETAIREIA YPSILIS TECHNOLOGIAS PARAGOGIS ENERGEIAS KAI SYMMETOXON,WHITESTEPS,True,PRC,AGIAS VARVARAS 61,152 31,ATHENS,EL,EL301,"37.9226935,23.750136050000002",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888815560/101092339,2023-01-07 18:10:58,1980337,18,participant,196000.0,196000.0,280000.0,False,,84000.0,EU
25,42,101092339,Exploit4InnoMat,916965542,IT02417330996,STAM SRL,,True,PRC,VIA PARETO 8 AR,16129,Genova Ge,IT,ITC33,"44.4022827,8.9452222",http://www.stamtech.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/916965542/101092339,2023-01-07 18:10:58,2737958,11,participant,327250.0,327250.0,467500.0,False,,140250.0,EU
26,43,101092339,Exploit4InnoMat,998993786,ESB64446123,"IRIS TECHNOLOGY SOLUTIONS, SOCIEDAD LIMITADA",IRIS,True,PRC,CARRETERA D ESPLUGUES 39 41,8940,CORNELLA DE LLOBREGAT,ES,ES511,"40.433008,-3.683341",http://www.iris.cat,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/998993786/101092339,2023-01-07 18:10:58,1917612,14,participant,250600.0,250600.0,358000.0,False,,107400.0,EU
27,107,101080025,drOp,991142024,BE0473324762,COMITE EUROPEEN DE COORDINATION DE L'HABITAT SOCIAL AISBL,CECODHAS,False,OTH,SQUARE DE MEEUS 18,1050,Bruxelles / Brussel,BE,BE100,"50.83893445,4.36985565957889",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/991142024/101080025,2022-09-04 12:38:11,2381060,10,participant,246996.25,246996.25,246996.25,False,,0.0,EU
28,108,101080025,drOp,999604110,ESG48975767,FUNDACION TECNALIA RESEARCH & INNOVATION,TECNALIA,False,REC,"PARQUE CIENTIFICO Y TECNOLOGICO DE GIPUZKOA, PASEO MIKELETEGI 2",20009,DONOSTIA-SAN SEBASTIAN (GIPUZKOA),ES,ES212,"43.2916949,-2.885882",http://www.tecnalia.com,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999604110/101080025,2022-09-04 12:38:11,1905767,3,participant,418125.0,418125.0,418125.0,False,,0.0,EU
29,109,101080025,drOp,999855146,ESF20045241,MONDRAGON GOI ESKOLA POLITEKNIKOA JOSE MARIA ARIZMENDIARRIETA S COOP,MGEP,False,HES,LORAMENDI 4,20500,Arrasate,ES,ES212,"43.061248,-2.4978163",http://www.eps.mondragon.edu,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999855146/101080025,2022-09-04 12:38:11,1911673,4,participant,258598.75,258598.75,258598.75,False,,0.0,EU
30,110,101080025,drOp,952277228,,EESTI KORTERIUHISTUTE LIIT MTU,EKYL,False,OTH,SAKALA 23A,10141,Tallinn,EE,EE001,"59.4334,24.75062",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/952277228/101080025,2022-09-04 12:38:11,1963728,6,participant,69875.0,69875.0,69875.0,False,,0.0,EU
31,111,101080025,drOp,951463786,ESP4804100H,AYUNTAMIENTO DE ERMUA,,False,PUB,MARQUES DE VALDESPINA 1,48260,Ermua,ES,ES213,"43.1860931,-2.5025084",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/951463786/101080025,2022-09-04 12:38:11,1976499,1,coordinator,723242.5,723242.5,723242.5,False,,0.0,EU
32,112,101080025,drOp,925037688,IT00313580771,COMUNE DI MATERA,,False,PUB,VIA ALDO MORO,75100,Matera,IT,ITF52,"40.359627,16.4953751",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/925037688/101080025,2022-09-04 12:38:11,1976502,8,participant,61250.0,61250.0,61250.0,False,,0.0,EU
33,113,101080025,drOp,999529323,EE100560275,Institute of Baltic Studies,IBS,False,REC,Lai  30,51005,Tartu,EE,EE008,"58.38357445,26.7193134791156",https://www.ibs.ee,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999529323/101080025,2022-09-04 12:38:11,1951528,7,participant,320000.0,320000.0,320000.0,False,,0.0,EU
34,114,101080025,drOp,950643166,IT01228200778,CONSORZIO MATERAHUB INDUSTRIE CULTURALI E CREATIVE,MATERAHUB,False,OTH,VIA EINAUDI 73,75100,Matera Mt,IT,ITF52,"40.647588400000004,16.703758705879565",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/950643166/101080025,2022-09-04 12:38:11,1961462,9,participant,261630.0,261630.0,261630.0,False,,0.0,EU
35,115,101080025,drOp,907837648,,ELVA VALLAVALITSUS,ELVA MUNICIPALITY,False,PUB,KESK 32 ELVA LINN,61507,ELVA VALD,EE,EE008,"58.2224879,26.4136401",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/907837648/101080025,2022-09-04 12:38:11,1976501,5,participant,77187.5,77187.5,77187.5,False,,0.0,EU
36,116,101080025,drOp,888416211,ESA95131447,PROMOCION ECONOMICA DE ERMUA SOCIEDAD ANONIMA,PROMOSA,False,PRC,CALLE MARQUES DE VALDESPINA 3,48260,BIZKAIA,ES,ES213,"43.2632452,-2.9326522",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/888416211/101080025,2022-09-04 12:38:11,1976500,2,participant,49245.0,49245.0,70350.0,False,,21105.0,EU
37,311,101091749,Demo-BLog,886853541,NL853924624B01,RUMM B.V.,Reusematerials,True,PRC,BENZENRADERWEG 1,6411EC,Heerlen,NL,NL423,"50.8818803,5.9790555",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/886853541/101091749,2023-03-10 21:27:00,1979539,10,participant,188825.0,188825.0,269750.0,False,,80925.0,EU
38,312,101091749,Demo-BLog,999645238,BE0244195916,VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK N.V.,VITO,False,REC,BOERETANG 200,2400,Mol,BE,BE213,"51.2190202,5.09349006749143",http://www.vito.be,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999645238/101091749,2023-03-10 21:27:00,1908795,3,participant,737578.75,737578.75,737578.75,False,,0.0,EU
39,313,101091749,Demo-BLog,893417725,BE0439340516,ACA IT-SOLUTIONS NV,,False,PRC,HERKENRODESINGEL 8B - 2.01,3500,Hasselt,BE,BE224,"50.9303735,5.3378043",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/893417725/101091749,2023-03-10 21:27:00,1979540,11,participant,158156.25,158156.25,225937.5,False,,67781.25,EU
40,314,101091749,Demo-BLog,994186078,GB123383827,THE ENERGY SAVING TRUST LIMITED,,True,OTH,223-231 PENTONVILLE ROAD,N1 9NG,LONDON,UK,UKI43,"51.5073219,-0.1276474",http://www.energysavingtrust.org.uk,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/994186078/101091749,2023-03-10 21:27:00,2181438,12,associatedPartner,,0.0,,False,,,EU
41,315,101091749,Demo-BLog,898899292,DE309727172,ChillServices GmbH,ChillServices,True,PRC,GROSS-BUCHHOLZER-KIRCHWEG 72D,30655,Hannover,DE,DE929,"52.4000464,9.803830882783645",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/898899292/101091749,2023-03-10 21:27:00,1979536,2,participant,338296.88,338296.88,483281.25,False,,144984.37,EU
42,316,101091749,Demo-BLog,905541464,BE0678735823,LEAP FORWARD,,False,PRC,SINT SALVATORSTRAAT 18 BUS 303,9000,Gent,BE,BE234,"51.2016076,3.2334039",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/905541464/101091749,2023-03-10 21:27:00,1953384,9,participant,265387.5,265387.5,379125.0,False,,113737.5,EU
43,317,101091749,Demo-BLog,966732459,BE0823225340,BUILDINGS PERFORMANCE INSTITUTE EUROPE ASBL,BPIE,False,REC,RUE DE LA SCIENCE 23,1040,Bruxelles / Brussel,BE,BE100,"50.8426277,4.3716771",https://www.bpie.eu,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/966732459/101091749,2023-03-10 21:27:00,1939323,4,participant,628500.0,628500.0,628500.0,False,,0.0,EU
44,318,101091749,Demo-BLog,919554084,,VLAAMS ENERGIE- EN KLIMAATAGENTSCHAP,Vlaams Energie- en Klimaatagentschap (VEKA),False,PUB,Koning Albert II-laan 20,1000,Bruxelles / Brussel,BE,BE100,"50.85918045,4.35611842273897",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/919554084/101091749,2023-03-10 21:27:00,1979537,6,participant,131351.25,131351.25,131351.25,False,,0.0,EU
45,319,101091749,Demo-BLog,916226693,FR11828579367,R2M SOLUTION,,True,PRC,QUARTIER DU BEAUMON LES GALERIES DE BEAUMON,6330,Roquefort Les Pins,FR,FRL03,"43.6661456,7.0492115",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/916226693/101091749,2023-03-10 21:27:00,3099769,5,participant,280065.63,280065.63,400093.75,False,,120028.12,EU
46,320,101091749,Demo-BLog,999580151,FR70775688229,CENTRE SCIENTIFIQUE ET TECHNIQUE DU BATIMENT,CSTB,False,REC,AVENUE JEAN JAURES 84,77420,Champs Sur Marne,FR,FR102,"48.8553234,2.5932229",http://www.cstb.fr,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999580151/101091749,2023-03-10 21:27:00,1910638,7,participant,198250.0,198250.0,198250.0,False,,0.0,EU
47,321,101091749,Demo-BLog,887114956,GB876453583,TRUSTMARK 2005 LTD,TRUSTMARK 2005 LTD,True,OTH,AREA BUSINESS CENTRE THE SQUARE BASING VIEW,RG21 4EB,BASINGSTOKE,UK,UKJ37,"51.262826,-1.0861976",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/887114956/101091749,2023-03-10 21:27:00,1979535,13,associatedPartner,,0.0,,False,,,EU
48,322,101091749,Demo-BLog,887981554,FR45845048685,QUALITEL ESPACE NUMERIQUE DU LOGEMENT,,False,PRC,28 RUE DU ROCHER,75008,Paris,FR,FR101,"48.876828,2.3218121",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/887981554/101091749,2023-03-10 21:27:00,1979538,8,participant,213762.5,213762.5,305375.0,False,,91612.5,EU
49,323,101091749,Demo-BLog,999977366,NL001569569B01,TECHNISCHE UNIVERSITEIT DELFT,TU Delft,False,HES,STEVINWEG 1,2628 CN,Delft,NL,NL333,"51.9986667,4.3757142",http://www.tudelft.nl,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999977366/101091749,2023-03-10 21:27:00,1905872,1,coordinator,751697.5,751697.5,751697.5,False,,0.0,EU
50,324,101091749,Demo-BLog,927395661,GB770504934,SOLSTICE ASSOCIATES LIMITED,SOLSTICE,True,PRC,7 SEAGER COURT CROCKATT ROAD HADLEIGH,IP7 6RL,Ipswich Suffolk,UK,UKH14,"52.0579495,1.1526345",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/927395661/101091749,2023-03-10 21:27:00,2382691,14,associatedPartner,,0.0,0.0,False,,0.0,EU
51,442,101079963,SUPERSHINE,917939810,,FONDAZIONE ICONS,ICONS,False,OTH,PIAZZA DELLA VITTORIA 1,26900,Lodi,IT,ITC49,"45.3138959,9.503263",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/917939810/101079963,2022-09-21 16:44:12,3006341,6,participant,198125.0,198125.0,198125.0,False,,0.0,EU
52,443,101079963,SUPERSHINE,991142024,BE0473324762,COMITE EUROPEEN DE COORDINATION DE L'HABITAT SOCIAL AISBL,CECODHAS,False,OTH,SQUARE DE MEEUS 18,1050,Bruxelles / Brussel,BE,BE100,"50.83893445,4.36985565957889",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/991142024/101079963,2022-09-21 16:44:12,2381060,12,participant,76500.0,76500.0,76500.0,False,,0.0,EU
53,444,101079963,SUPERSHINE,907184644,IT00053520326,AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE DI TRIESTE,LOCAL AGENCY FOR PUBLIC SOCIAL HOUSING,False,PUB,PIAZZA DEI FORAGGI 6,34139,Trieste,IT,ITH44,"45.6398744,13.7898605",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/907184644/101079963,2022-09-21 16:44:12,1970100,7,participant,128435.0,128435.0,128435.0,False,,0.0,EU
54,445,101079963,SUPERSHINE,999516907,ESG50556091,FUNDACION CIRCE CENTRO DE INVESTIGACION DE RECURSOS Y CONSUMOS ENERGETICOS,CIRCE,False,REC,"PARQUE EMPRESARIAL DINAMIZA, AVDA. DE RANILLAS, 3D",50018,Zaragoza,ES,ES243,"41.6521342,-0.8809427",http://www.fcirce.es,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999516907/101079963,2022-09-21 16:44:12,1915743,9,participant,289787.77,289787.77,289787.78,False,,0.010000000009313226,EU
55,446,101079963,SUPERSHINE,901780774,IT02860080304,CIVIESCO SRL,CIVIESCO,False,PRC,VIA VITTORIO VENETO 24,33100,Udine,IT,ITH42,"46.1458531,13.2057337",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/901780774/101079963,2022-09-21 16:44:12,1960667,2,participant,7074.77,7074.77,10106.81,True,,3032.039999999999,EU
56,447,101079963,SUPERSHINE,937861670,LV90011524360,"""RIGA MUNICIPAL AGENCY """"RIGA ENERGY AGENCY""""""",Riga Energy Agency (REA),False,PUB,Maza Jauniela 5,1539,Riga,LV,LV006,"56.9716562,24.1665986020787",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/937861670/101079963,2022-09-21 16:44:12,2993558,13,participant,101250.0,101250.0,101250.0,False,,0.0,EU
57,448,101079963,SUPERSHINE,919965655,PT507796497,AGENCIA DE ENERGIA E AMBIENTE DA ARRABIDA,ENA,False,OTH,AVENIDA BELO HORIZONTE EDIFICIO ESCARPAS SANTOS NICOLAU,2910 422,Setubal,PT,PT170,"38.553831200000005,-8.859568820895147",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/919965655/101079963,2022-09-21 16:44:12,1946805,10,participant,56512.5,56512.5,56512.5,False,,0.0,EU
58,449,101079963,SUPERSHINE,999514191,IT03929151003,AGENZIA PER LA PROMOZIONE DELLA RICERCA EUROPEA,APRE,False,REC,VIA CAVOUR 71,184,Roma,IT,ITI43,"41.8990667,12.4977092",http://www.apre.it,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/999514191/101079963,2022-09-21 16:44:12,1905722,1,coordinator,243750.0,243750.0,243750.0,False,,0.0,EU
59,450,101079963,SUPERSHINE,950585936,DK29417490,EUROPEAN GREEN CITIES APS,EGC,True,OTH,NORSGADE 17,8000,Aarhus C,DK,DK042,"56.161059,10.207329",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/950585936/101079963,2022-09-21 16:44:12,2449790,11,participant,82500.0,82500.0,82500.0,False,,0.0,EU
60,451,101079963,SUPERSHINE,965280369,IT11795091005,RETE INTERNAZIONALE PER LE PICCOLEE MEDIE IMPRESE,INSME,False,OTH,VIA GIOSUE CARDUCCI 4,187,Roma,IT,ITI43,"43.9167651,12.6494558",https://www.insme.org,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/965280369/101079963,2022-09-21 16:44:12,1921125,15,participant,58750.0,58750.0,58750.0,False,,0.0,EU
61,452,101079963,SUPERSHINE,881980067,IT04541210961,AYMING ITALIA S.R.L. SOCIETABENEFIT IN FORMA ABBREVIATA AYMING ITALIA SRL SB,,False,,"VIA GIANFRANCO ZURETTI, 34",20125,Milano,IT,ITC4C,"45.4923107,9.2072429",,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/contact-form/project/881980067/101079963,2022-09-21 16:44:12,1984464,22,participant,72887.46,72887.46,104124.94,False,,31237.479999999996,EU
